cisGene.Symbol,transGene.Symbol
CTD-2192J16.21,
NEXN-AS1,ZBTB2
RP4-625H18.2,TCERG1
RP11-632K20.2,RP11-932O9.7
RPS3A,RPS3AP26
LINC01273;RP11-112L6.4,
AC093616.4,UPP1
MS4A6E,TMEM63B
PEMT,
RP4-751H13.7,RP11-296O14.3
AC007879.3,IGKV2D-29
RP11-274B21.2,CICP22
ZNF263,ZNF418
SNW1,RNU2-2P
CASP1,RN7SL130P
CKAP2,GAS2L2
UBXN7,MRPL17
LRRC47,R3HDM4
ZNF260,ZNF781
RPAIN,RP11-227D13.1
DYNC1I2,DYNC1I2P1
GATB;PET112,IGKV1-33
ENTPD3-AS1,RPL14P1
ZFYVE21,NANOGP7
ZNF135,FAM149A
VDAC1,RABIF
RP11-932O9.9,RP11-382B18.3
RBAK-RBAKDN,DSG1
RP11-932O9.7,RP11-382B18.3
ZNF578,RP11-879F14.2
CTD-3092A11.2,RP11-382B18.3
RASA4DP,NLRP2
LMBR1L,C2orf40
FERMT1,SULT2B1
AQP3,RP11-365F18.6
RP11-632K20.2,CTD-3092A11.1
TRAV13-1,TTF2
RP4-607J23.2,MAEA
EPHX2,RP11-386I14.4
LCMT2,GEMIN8
RP11-127I20.5,ULK4P3
IDH2,ZG16B
TRIM73,STAG3L3
C1orf123,CRBN
AGAP4,AGAP7
CHRNB1,SVIL
ANKK1,NECAP2
AGAP4,AGAP8
ZNF419,SEMA7A
CTC-559E9.6,SRRM2
PIGK,TFPI
ARPC1A,TXLNGY
RP11-305E6.4,
LRIG3,PSMA6P2
RP11-326C3.15,CBX6
CELA3A,PRSS1
CELA3B,PRSS1
VCP,
NMB,RP13-996F3.4
ZNF575,KHDRBS3
FKBP2,RP11-141M3.5
U1,GFRA1
CTC-308K20.3,MAGOHB
FKBP15,PLSCR4
NSFP1,LRRC37A4P
ETFDH,TCEB1P2
POLR2L,DMD
EIF2AK1,PPARA
CICP14,CTD-2021A8.2
NCSTN,FHIT
ZBTB40,CBFB
NCSTN,SNW1
RP11-292E2.1,FAM129C
CD164L2,UBR1
OCLN,GTF2H2
FAM105B;OTULIN,THUMPD2
PARP16,PPP2R5D
CELA3A,SYCN
