cisGene.Symbol,transGene.Symbol
MRPS9,CTH
ATE1,WDR7
TGFB3,STARD10
PPFIBP1,LINC01251;RP11-384P7.6
AC079922.3,AC091801.1
ZNF404,STOM
AL592284.1,RP11-439A17.7
FCN2,DENND4C
RBM33,INO80D
PDE6A,ZNF140
AMN,SKAP2
TXLNA,C9orf114
ANKRD20A7P,
LINC01564;RP11-345L23.1,KIF27
NAIP,RP11-1319K7.1
XXbac-BPG248L24.12,HLA-DRB6
OR13A1,FAM86FP
PPIHP1,RP11-165F24.2;RPL12P25
MICALCL,PRRG2
OVCH2,EIF3FP3
CCNI,TIPIN
C6orf141,CLCN7
UPK1A-AS1,RP11-843P14.1
FAM117A,PAK1IP1
CDON,B3GALT6
RP11-274B21.10,CICP13
ARHGEF11,UNC13D
RN7SL239P,AC004067.5
APLF,MON2
WDR31,CCDC137
C19orf44,PDZRN3
SSBP1,RP11-428C19.4
ATG13,GOLGA5
CTB-113D17.1,LDLRAD4
SAMD12,RP11-686O6.1
CTNNAL1,CCDC127
C6orf57;SDHAF4,ZMYM3
MRPL28,SH2D4A
RP11-60H5.1,DNAJC21
ANO5,ZBTB37
HPCAL1,RP11-1191J2.2
LATS1,SETD5
C19orf47,HNRNPA1P14
FA2H,REEP6
MT1X,IGSF8
PIGL,APTX
MTUS1,CYP4F12
MSANTD3,MTX1
LRRC57,AIF1L
ACOT11,AKR1C3
RP11-573D15.1,RP11-121A8.1
DHRS4-AS1,
DHRS4-AS1,
IVD,ROCK1
MAP7D1,ABCA9
TSPAN13,ACTR1B
WIPI1,RTCB
FOXRED1,
CFAP44;WDR52,HNRNPH3
RP11-337C18.10,SUPT5H
MRPL24,N4BP1
MIR614,SMAGP
XXbac-BPG300A18.13,SVILP1
BMS1P1,BMS1P5
AC104651.1;EEF1E1P1,PLA2G4C
LRRC61,MATN4
PCYOX1L,TRMT61A
YBX2,TRAT1
AC004980.9,TNIP3
TOP2B,AC007395.4
AMT,GPX1P1
ST6GALNAC6,NPLOC4
RP11-1407O15.2,TBC1D3B
MOV10L1,DDX46
RP11-218F10.3,CLDND1
MS4A4A,RNASE1
PUS7L,RP5-1142A6.9
PTPRS,SAMD3
RIPPLY2,KLK3
TMEM222,FLT3LG
RPS3A,RPS3AP5
LPAR1,TRAPPC8
MIR205HG,MIR27B
MRPL54,AC017101.10
TIMP2,RBMX2
TMEM222,CTD-3148I10.15
RP11-466F5.8,FGF12
DCTD,RP11-25K19.1
SNORA21,PIGO
SSU72,RP11-342K6.3
HDAC7,RP11-173P15.5
RPP25L,STIM2
ALDH6A1,CYB561D1
TOP2B,METTL6
CNGA3,OXTR
LINS;LINS1,POLD1
SLC25A4,CYP24A1
FCGR2C,SPRYD4
CEL,EPB41L1
SH2D3A,FBXL20
GTF2H2,GUSBP3
LIMS1,QTRT1
SAMD10,GRB7
RNH1,AC009093.1
MTA2,GNE
TBC1D20,MIR17HG
TACSTD2,TRAPPC8
SEC22C,IAH1
BTNL3,ADAMTSL5
TOX2,CLEC2B
TBC1D9,DYRK3
FBXO38,RBM47
RP11-646E18.2,STK19B;STK19P
CTD-3105H18.4,ADCY10P1
AL161915.1,BUD13
NRXN2,AIF1L
RP1-79C4.4,STON1-GTF2A1L
DNAJC9-AS1,SLC22A14
AC142528.1,IDO1
GOLGA8O,CTD-3092A11.1
RP11-111A22.1,
RP11-397E7.4,RP11-154H23.3
IGHMBP2,IGHE
MAP1B,MS4A8
FAM83E,CYP4F24P
TRGV3,HOMER3
POLR1A,DCAF13
MESDC2,GGCX
MRAP2,ENAH
CCDC88C,ZC3H10
RP11-141C7.4,AC024560.2
GEN1,NOTCH1
CTD-2231E14.8,EREG
ATG16L2,HPSE
GRAMD4,RNF122
IL1RL2,SLC35C2
GPRC5A,SMAGP
RP11-274B21.1,LINC00999
RP11-274B21.2,LINC00999
ANXA8L2,FAM103A1
SLC30A5,TRAPPC8
SNORA21,ARPC3
S100A2,CLMN
ZNF774,RP11-430B1.2
AP001625.6,ADGRE3;EMR3
IPMK,CDS2
MB21D1,ZNF493
AMZ2,HOGA1
PNPLA7,SEMA4B
GTF2H2,OCLN
SAR1A,FAIM
MIEF2,KRT16P2
LLGL1,KRT16P2
AC007278.3,PNRC1
AC018638.1,LINC00999
RP11-274B21.3,LINC00999
ERCC3,EPB41L5
DNAH2,MYO16-AS1
RP11-274B21.4,LINC00999
ARHGEF34P,TRBV29-1
FTH1,FTH1P12
RP11-540B6.2,CHRNA7
LGALS8,LINC00894
ANKRD18EP,VWC2
SLC40A1,ST6GALNAC2
KNDC1,PPM1L
LYPD5,UQCRHL
RP11-798G7.8,LRRC37A3
SPTBN2,C4orf19
MYH7B,SPPL2B
LHFP,RP1-191J18.66
ALMS1P,ADGRB3;BAI3
OCLN,GTF2H2
CBLN1,RP11-701H24.7
TOMM40,SAMHD1
RP11-247A12.7,MAP3K7
XDH,SLC38A4
KIF25,URB2
COL6A1,ADCY6
LINC00571,MEG9
DDO,ZFYVE19
MAP4,TRIM66
SKA2,C3orf70
RPS20,
ARAP1-AS2,SLAMF1
RPSA,FAM53B
HLA-DRB6,IPO8
HNRNPA1P33,CLUH
HSD17B11,PHB2
RP11-529H2.2,PHB2
RP3-430N8.11,LPIN2
MAD2L1,MYBL2
FAM20C,RP11-885N19.6
GTF2IP14;RP11-460N20.5,EME1
BTN3A1,
ARHGEF25,TMEM55B
RP11-534L20.5,RERE
SGCA,RBPMS-AS1
CCZ1B,TATDN1
MAB21L3,RP11-77P6.2
RP13-254B10.1,RP11-792A8.4
PAAF1,
CTD-2366F13.1,RPS11P5
PILRB,RP11-619A14.3
RP11-408A13.3,SCAF4
NEFM,CTD-2078B5.2
EVL,RP4-647J21.1
OR7E14P,RP11-746M1.1
BAIAP2L2,CARD9
ZNF681,C1orf194
PRSS3,RP11-361L15.4
RP11-133O22.6;UBE2R2-AS1,RP11-361L15.4
DDX11,TMEM201
DDX11-AS1,BRF1
MAPRE1,ZNF419
AC005517.3,RP11-250B2.2;RPSAP72
NT5C3B,DNAH14
MLXIPL,AC007461.1
HBS1L,SF3A2
MRPL45,SNHG17
RP11-511H9.3,TMPRSS11E
01-Mar,CLDND1
PARP3,PDZRN3
MDGA1,RP3-439F8.1
RP11-797H7.1,AC073236.3;LINC01287
CES3,DUS3L
COL6A2,CTB-118N6.3;SEMA6A-AS1
CISD2,RP11-15J10.1
SAR1B,PTTG1
ZNF470,TNPO1
ZNF467,ZNF565
ZBTB7A,ZBED5
PYCRL,DOCK9-AS2
HLA-DOA,HLA-DRA
AC108488.3;RNASEH1-AS1,IMPG1
LYPLA1,CTD-3128G10.6
ZNF500,MYOZ3
ZBTB7A,PTK6
IMMP1L,CHAF1B
SIRT3,
LONP1,KMT2C
RP11-284M14.1,ASAP3
FAM160B2,RP1-67K17.3
SNORA57,MVP
RAD18,KCNJ15
MPHOSPH6,CTTNBP2
PRADC1,SCARNA10
TXLNA,
FAM71F2,RP11-404G16.2
ZNF212,RP11-538P18.2
URGCP,HIGD2A
ATP4B,XKR9
RND2,STK32A
RP11-439A17.7,RP11-326G21.1
LRRC3B,CTC-550B14.6
RP11-452K12.4,CPVL
RP11-195E2.1,CLEC4E
DOC2A,TBC1D15
UBE2E3,RN7SKP30
ESPL1,MEF2A
CCDC162P,CDC14A
ICT1,RPS6KA4
TNKS2-AS1,RP11-723O4.9
FOXE1,TMPRSS11D
DOCK4,RP11-334J6.6
PDCD4,SLC25A39P1
ZNF205,HM13-IT1
ASAH2B,CTD-2337J16.1
SCEL-AS1,UBAP2L
OR7D2,SRPK1
PCGF2,C9orf41-AS1;RP11-197P3.4
TAF13,AGA
TEKT4,CICP9
CICP14,CICP22
LINC00669,RHOB
RPS6KB2,YKT6
NSRP1,LEPROT
COMMD10,DDA1
RABGGTB,CDPF1
CEP63,ARHGDIG
SCAMP5,HIVEP1
BTBD16,CDHR5
CCT6A,ULK3
KIAA0930,TRUB1
GTF2H2,SAMD5
MORN4,ABCA3
TPSD1,GPRASP1
MRPS16,RP11-160O5.1
RP5-1065J22.8,PIK3CD-AS2;RP11-558F24.4
ASB16-AS1,BCLAF1
DRAP1,GPC6
FAM43B,CNIH2
MED21,AC139100.2;PARD6G-AS1
SLC2A8,TFCP2
CCDC171,MFNG
MEGF6,IGLV4-60
TYMP,RP11-109A6.3
RPSA,RPSAP19
RPL13,RPL13P12
RPS14,
SUOX,
RPS28,RPS28P7
RPS28,AC018738.2
FAM21A,
RNF5,RNF5P1
EIF3F,EIF3FP3
RPSA,RPSAP15
RP11-798G7.8,
ARL17B,
RP11-995C19.2,
KANSL1,
RP11-259G18.3,DND1P1
RALGAPA1,RALGAPA1P
RP11-958N24.2,PKD1P5
RP11-274B21.4,CICP13
RP11-274B21.3,CICP13
RP11-274B21.2,CICP13
AGER,RNF5P1
ANKRD20A7P,
CR848007.2,
RP11-958N24.2,
RP1-101K10.6,RP11-756P10.3
RP11-958N24.2,NPIPA8
EPHA6,
RP11-259G18.3,RP11-707O23.5
AHCTF1,AHCTF1P1
MTRF1L,RP11-756P10.3
RPS18,
AGAP7,CTGLF11P
DHFR,DHFRP1
RP11-669E14.6,RP11-707O23.5
RP11-274B21.1,CICP13
RPL12,RPL12P16
RP11-274B21.1,CICP5
MZT2A,AC018804.6
AC107982.4,USP32P1
RP11-212P7.2,CICP5
AC138969.4,NPIPA8
PKD1P1,NPIPA8
RP11-274B21.4,CICP26
RP11-274B21.3,CICP26
RP11-274B21.2,CICP26
AC018638.1,CICP5
RP11-274B21.4,RP11-261C10.7
RP11-274B21.3,RP11-261C10.7
RP11-274B21.2,RP11-261C10.7
BAK1,BAK1P1
RP11-212P7.2,RP11-261C10.7
YWHAZ,YWHAZP3
MXD3,AC016734.2
CTD-3157E16.1,MEIS3P2
HMGB1,HMGB1P5
MEIS3P1,MEIS3P2
IP6K1,GPX1P1
RP11-274B21.4,CICP5
RP11-274B21.3,CICP5
RP11-274B21.2,CICP5
MUC4,AC024560.2
AC018638.1,CICP13
H3F3A,H3F3AP4
RP11-958N24.2,RP11-304L19.2
THOC3,RP11-423H2.1
CDC16,UPF3AP1
GUSBP4,RP11-1023L17.1
ANKRD20A1,ANKRD20A2
PYROXD1,RP11-819M15.1
RP11-382B18.3,CHRNA7
SP1,CTC-471F3.4;PRR13P5
XXbac-BPGBPG55C20.2,RP11-1023L17.1
CLEC18A,NPIPB15
H3F3A,RP11-402J6.3
RP11-212P7.2,CICP13
C4A,RNF5P1
CHRFAM7A,CHRNA7
GOLGA8H,CHRNA7
HIST2H2BA,NBPF14
AC005363.9,RPS2P5
CYP21A1P,RNF5P1
RP11-274B21.1,CICP26
UPF3A,UPF3AP1
ULK4P2,CHRNA7
ULK4P3,CHRNA7
CENPBD1P1;RPL23AP79,AP006222.1;RPL23AP21
RPS26,RPS26P15
DDX11L2,
FAM103A1,FAM103A2P
OCLN,RP11-195E2.1
NOMO3,PKD1P5
RP11-195E2.4,OCLN
GPX1,GPX1P1
SLC2A8,RPL12P4
RP11-1000B6.3,RP11-932O9.9
RP11-434B12.1,NSUN5P2
AC024937.4,AC024560.2
FAM72B,NBPF14
APIP,RP11-196I18.3
RPL12,RPL12P4
RP11-195E2.1,OCLN
RP11-439A17.7,RP11-326G21.1
AC103965.1;GOLGA2P7,RP13-996F3.4
HMGB1,RP11-673C5.1
NCKIPSD,GPX1P1
HIST2H2BA,RP11-326G21.1
RP11-258F1.1,USP32P1
RPL10A,RPL10AP6
DDX11L2,
LINC00680,RP11-1023L17.1
KANSL1,LRRC37A4P
GTF2H2,RP11-195E2.1
GTF2H2C,RP11-195E2.1
AGAP9,RP11-144G6.12
AC123768.4,GOLGA8I
TUBE1,HMGB1
CTD-3092A11.1,GOLGA8I
CTD-3092A11.2,GOLGA8I
ACSS2,AGPAT9;GPAT3
RP11-374M1.5,GXYLT1P6
MXRA7,
KANSL1,RP11-798G7.8
HIST2H2BA,RP11-640M9.2
AC103965.1;GOLGA2P7,RP13-996F3.3
RP11-379F4.9,FKBP7
PSMG3,
FAM153C,SP100
RP11-182J1.14,RP13-996F3.3
CHN2,SLC35D3
VKORC1L1,RP11-792A8.4
RP11-418J17.1,FAM3D-AS1;RP11-475O23.3
RP11-1000B6.3,RP11-932O9.7
SERF1A,RP11-848G14.5
RP11-932O9.9,RP11-1000B6.3
RP11-932O9.7,RP11-1000B6.3
GOLGA8R,RP11-1000B6.3
RP11-1000B6.3,GOLGA8I
RP11-461O14.1;RPL7P19,HMGB1P10
PMS2P2,PMS2P7
CCNT2,BRPF3
CHRNA7,GOLGA8I
RP11-673C5.1,HMGB1P5
HLA-A,XXbac-BPG299F13.17
RP11-932O9.9,GOLGA8I
RP11-932O9.7,GOLGA8I
GOLGA8R,GOLGA8I
AC019186.1,PPP2CA
CTD-3092A11.1,RP11-1000B6.3
KB-226F1.1,NCLN
AP000351.10,NCLN
SNHG9,RPS2P5
ACADVL,FMO1
SMG8,ZDHHC8
AC093642.5,AC137934.1
AHCYP2,C20orf197
CICP14,CICP22
ZNF322,RP11-498P14.3
ART3,MICE
DAGLB,RP11-130F10.1
RP11-480A16.1,LINC01023
DDTL,NCLN
RP11-461O14.1;RPL7P19,HNRNPA1P10
CEP290,DYNC1I2
RP5-837J1.2,TPT1-AS1
RP11-499O7.7,PPP2CB
HSDL2,GS1-124K5.11
PPFIBP2,DNAJB2
ZNF329,
HLA-DMA,BTN3A2
AC016629.8;MZF1-AS1,AP006222.1;RPL23AP21
FAM196A,SCNM1
ATP5G1,
RTEL1,RNA5SP392
ZNF433,KLRAP1
CCDC152,TINF2
RANBP3L,ATP1A2
WDR5,RP11-122G18.5
CCDC15,PELO
CNTNAP3B,
GPR63,PHACTR2P1;RP11-359E7.2
DDX11L2,FAM138D
HNRNPH1,DDX17
NR1D2,C1orf51;CIART
OCLN,RP11-195E2.4
RP11-274B21.1,LINC01347
RICTOR,RP11-462L8.1
RNGTT,COPS7A
CSGALNACT2,CPS1
PPTC7,NSUN5P2
BRD8,YPEL3
TBX18,FZD8
NEK11,MLH1
BORCS5;LOH12CR1,SCAF8
TRPM4,MAFG
SAV1,LRRC3DN
ADAMTSL3,RP11-50D9.3
POLDIP2,USP8
TRPM2,HAUS6P1
CARD10,TMEM219
CTD-2643K12.3;LINC01581,SBK3
LSP1,FAR1
CYP4F59P,GXYLT1P6
AC069213.1;MUC20P1,AC024560.2
RP11-141C7.3,AC024560.2
VPS53,NOMO3
RP11-429J17.2,CNTFR-AS1
TXNL4B,PCNA
TSSK4,KLRAP1
TMEM9,TBX18
NOV,RHNO1
AC093627.8,RP11-885N19.6
AP003419.11,AC006042.8
POLD4,AC006042.8
CTD-2643K12.3;LINC01581,CA3
FAM109B,PART1
ZYG11B,COL8A2
GPR35,IGFL4
AC144449.1,AC012379.1
RPS26,RPS26P6
GOLGA2P10;RP11-152F13.3,RP11-561C5.4
NAPSB,LEF1
RP11-426L16.3,
DHRS4,LRPAP1
RP11-225B17.2,KCTD3
CRMP1,RP11-493K19.3;SEMA3F-AS1
WTAP,RP11-305K5.1
RP11-932O9.9,CHRFAM7A
RP11-932O9.7,CHRFAM7A
GUF1,SPON2
AUP1,RFX3-AS1;RP11-509J21.1
ANO2,AURKAIP1
AK4,TENM4
AGER,RP5-1068B5.3
CAPG,CLEC1A
GPATCH2,CTB-187M2.2
RP11-116D17.3,MYLK-AS1
ASCL5,ADAMTS7P4;RP11-561C5.5
ZNF433,TMEM62
RP11-461O14.1;RPL7P19,H3F3AP6
RP11-462D18.2,NT5CP1
CAPN10,PDIA6
LINC00304,CCDC78
RP11-212P7.2,CICP3
NSFP1,
NAIP,RP11-1319K7.1
CASP8,RPS4XP17
ANXA10,CILP2
RP11-504P24.3,LSM12
CRHR1-IT1,WNT3
OGDHL,RPS26P21
U2AF1L4,DOCK4-AS1
IGSF8,RP11-264E20.2
RP11-274B21.8,CICP5
RIOK2,SLC10A3
AC002398.13,KIR2DS4
RP11-722E23.2,RAET1E
FBF1,CTD-2623N2.3
TMEM74B,OBSCN
WASH7P,TMEM185AP1
CASP9,DUSP22
NFATC3,DLX6
PIGN,VAPA
GUSBP3,UBE2H
BCL2,GALNT7
SERF1A,CDH12P2
COPRS,DCAF7
RPS26,RPS26P3
EPHA6,ERI3-IT1
CTD-2085J24.4,ARHGAP29
KANSL1,CRHR1-IT1
THOC3,RASGRP3
RP11-274B21.4,LINC01347
RP11-274B21.3,LINC01347
RP11-274B21.2,LINC01347
LINC01235;RP11-536O18.2,CDC42EP1
CCDC8,EPT1
BDH2,BDH2P1
UBR5,MAN2A1
RPS6KC1,EXOG
DDX23,CDADC1
LRRC37A,WNT3
TCTN3,FBXL18
RP11-496H1.1,ZFAS1
CENPBD1,ZMYM3
RP11-566K11.5,ZMYM3
COCH,CD99L2
RP11-1365D11.1,PPP1R3F
WNT3,GRINA
CIAO1,FGF9
DUXAP4,DOCK4-AS1
S100A9,RP11-1191J2.5
CLTB,TMPRSS4
RP11-554A11.9,AP001469.5
AC093838.4,AC018804.6
ZBTB10,UBL5
BMS1P20,
NFKBIB,PSMB10
CTA-204B4.2,TTF2
AC139100.2;PARD6G-AS1,
TRIM26,GTF3A
GTF2H2B,CDH12P2
DOC2GP,TTC3
PDZD2,KPNA6
MCM2,NDUFA4L2
GNG7,C5orf49
ANAPC1,RP11-69E11.4
APLNR,TINAGL1
RP11-6N17.6,CCL4
TRIM58,RP3-430N8.11
SRP72,FBXW11
TSPAN12,C9orf169;CYSRT1
CNTNAP3B,RP11-187C18.2
PIGB,
CHAF1A,PIK3CD-AS2;RP11-558F24.4
PLVAP,PCSK1
LGR6,LSAMP
YES1,MFNG
RNF24,MANEA-AS1
CTD-2132N18.2,TDRD7
08-Sep,LPCAT4
RP11-374M1.5,FAM27E2
C16orf72,TOR1AIP2
ALG1L11P,TIMM23
AC116614.1,C19orf18
NSFP1,RP11-798G7.8
LRMP,RP11-707O23.5
C21orf67;LINC01547,PXN
CMYA5,SUPT5H
HCG4P5,XXbac-BPG299F13.17
RP13-820C6.2,SOBP
ART3,ELL2P1
SCAND2P,MYO19
C1D,LRCH2
RP4-614O4.11,TPT1-AS1
EIF6,TPT1-AS1
NOMO3,RP11-304L19.2
CTB-12O2.1,FBXO18
AC018755.1,STYXL1
PROCA1,GLB1L3
DUS2,THG1L
ITGAV,COLCA1
RP11-326C3.13,APPBP2
BTN3A2,C18orf21
GUSBP9,OCLN
SIPA1L2,GLI3
CLASRP,STK11IP
RP11-597D13.7,ST13P6
DEGS1,CPB2-AS1
TYRO3,RP11-296A18.5
AC092811.1,CHIC1
UBXN2B,GPR20
AC144449.1,NAA60
ZDHHC21,AP001469.5
HIST2H2BA,RP11-782C8.2
SCAPER,PPP2R5C
SMDT1,PART1
CR848007.2,
LYST,DTX3L
POGZ,JAM2
MRFAP1,
IFNAR1,RP11-334E6.3
STX4,CENPW
OGFOD1,FITM2
DAD1,
F2RL2,PCMT1
RP11-58B17.2,DDX3P1
CX3CR1,DCN
DIMT1,RP11-334E6.3
SSUH2,HSPA9
FFAR1,CCNG2
PHYHIPL,RP1-159M24.1
RHPN2,AC004837.5
TSEN54,CD99L2
PCDHGA2,PDE6D
CYP21A2,VRK1
RAD17,RFC5
RP11-508N22.12,ZNF33B
CSRP2BP,DCTPP1
FBLN2,
DCLK2,MTX3
ALS2,MCM6
IP6K2,GPX1P1
Z95704.5,PPP1R3F
CCDC137,ADH1A
COQ7,MGST1
RP11-195E2.1,GUSBP3
DNAH14,HAUS1P1
FAM160A2,CDK10
RP5-1011O1.2,PLBD1
PUS10,MGAT1
C16orf62,CTD-2256P15.2
PSORS1C1,HLA-A
COL9A3,SSR1
ZNF37BP,HLA-E
TOLLIP-AS1,LINC01354;RP5-855F14.1
DCT,KIAA0100
RPS23,RPS23P8
RSL24D1,EIF3E
RPS25,CTD-2287O16.1
TPT1-AS1,INO80E
RPS27L,UNC13A
ATG10,RPS23P8
FOXN3,GANC
AC007292.6,PIK3CD-AS2;RP11-558F24.4
PON2,RP11-47A8.5
LINC00852,RABAC1
TAF1A,VAMP4
ADGRG6;GPR126,RP11-489D6.2
MPZL1,PPIL4
FOXN3,GSTM2
RP1-39G22.7,ZNF687
CTSS,SLC1A3
RPS18,DARS2
RP11-498P14.3,LYRM1
TRIM37,GALNS
TSC22D4,JUP
LTBR,VPREB3
SERAC1,FAM181B
NR1D2,PER1
PARP6,FLOT1
B3GALNT2,PLAC8L1
DARS,EIF4EBP2
MAP3K11,CLDN4
SPATA20,CRTC3-AS1;RP11-387D10.2
CYP4F59P,FAM27E2
RP4-614O4.12,FAM198B
MYH6,NPPA
BZRAP1,TONSL
BHMT2,DCAF5
ARGLU1,PHYHD1
KLHL36,PLEKHM1
CALR,PBX4
OXLD1,FGF5
SMPD2,CTA-363E6.7
AL672183.2;RPL23AP25,AC094019.4
WRAP73,RRAGD
CKS2,PNRC1
SHMT1,USP32P1
AP001266.1,RNF144B
RP5-1159O4.2,ZNF606
TOLLIP-AS1,LINC00933
RP11-351M8.1,ST3GAL2
PIANP,SMG1
LL22NC03-2H8.4,
RP11-95I16.4,NDUFS7
AGAP9,AGAP10;AGAP9
RP11-17E13.2,HARS2
MIR765,CYP4F24P
BTD,HHLA3
UBR5,
KLHL36,ZNF106
PRSS30P,METTL5
CCDC148,PDGFRA
LINC00152,KLRC2
ZNF534,
CRMP1,SMARCC1
RP11-829H16.3,CD99L2
DDX42,AL139147.1
CICP16,DIXDC1
MCAM,DACT3
TTF2,
TOX4,ALPK1
SPIRE1,CYS1
SLC41A2,WWTR1-IT1
OPRL1,
PCYOX1,MED13L
ALDH3A2,IGFBP6
RP11-535M15.2,C6orf99
RP11-554A11.7,PCGF3
TRIM65,CTD-2623N2.3
DFFA,PTP4A2
CTD-2020K17.4,EMP2
GBAP1,RP11-480N24.4
DHX40,LMBRD1
GNMT,XRCC2
RP11-457M11.2,RP11-498P14.3
RP11-472B18.1,TTBK2
ADAT1,C16orf71
AP001029.1,CTD-2366F13.2
IFT122,PPP2CB
OR51E1,STK32C
WTAP,
METTL8,SDHB
RP11-316M21.6,CACTIN-AS1
RP11-106M3.2,DLL1
CELF6,DLL1
HLA-DQB2,LRIT3
RPL23A,PRKCSH
HMGCL,PTTG4P
UBXN6,APOO
PCDHGC4,COX6A1
RP4-724E13.2,EDA2R
RP11-1407O15.2,TTC39B
RP11-6O2.3,CEP44
CINP,GRINA
LINC01358;RP4-794H19.4,PSIP1
PRR13,CTC-471F3.4;PRR13P5
SUGT1,CACYBP
LYRM7,PDIA4
CAPN10,IGFL4
CD79A,LTB
NDUFA5,MB21D1
RP3-508I15.14,ZSWIM7
SDCBP2-AS1,BCOR
STK19B;STK19P,RNF5P1
JOSD1,APBB2
AC021016.6;CATIP-AS1,NTRK2
ZFAND5,
CCR1,AC005253.4
FOXD4,ADRM1
HLA-DPB1,ZFYVE19
IL27RA,TNFRSF25
AL592284.1,HIST2H2BA
LINC00623,HIST2H2BA
TMEM63A,MRP63;MRPL57
RBAK-RBAKDN,ZNF471
NBPF12,CTC-203F4.2
AC084018.1;LINC01089,PANK1
ACADVL,EBF2
RP11-332K15.1,MB21D1
LRRCC1,NONOP2
CHRAC1,USP34
NIPA2,CCDC47
RP11-252A24.7,HID1
LARP7,MATN3
CYBRD1,ZNF675
CFAP97;KIAA1430,DCP1A
RP11-806O11.1,C9orf116
MYOM1,ACTB
UBXN2B,LINC00315
AP000350.5,RP11-103J8.1
INVS,LONP2
CTD-3076O17.1,KLRG1
TRIM4,RN7SKP80
WFIKKN1,ACO1
ATP6V1C1,ANGPTL2
WDR41,DBNDD2
PAWR,NT5C2
AC091633.2,PPP1R2P3
SYNJ2BP-COX16,RP11-629G13.1
C10orf11,TACC3
CTA-204B4.2,SET
EFHB,NUP160
KCNK2,UBAP1L
VANGL2,RP11-337C18.7;RPL7AP15
RHOB,DUSP1
SLC35E2B,LINC00928
AC015849.19,MAN1A1
RP11-428J1.5,RBBP4P2
SLC2A8,PAN3
C11orf84,FDX1P1
FOXD4,PCBP1
RP11-429J17.2,DFFB
PACRG,MRFAP1L1
PARP15,SCFD2
FBXL20,RP11-81N13.1;SUCLG2-AS1
DHX34,RP11-245J9.6
FAM109B,NDRG3
LYSMD3,MTA2
RP3-508I15.14,PROX1
RPL12,HK1
NHP2L1;SNU13,SLC25A36
BET1P1;RP5-1051J4.4,DLEU2L
RPL32P29,DHX29
LINC01314;RP11-2E17.1,IL18RAP
NHP2L1;SNU13,RBM26
RP11-98J23.2,NAIP
PFDN1,RP11-504P24.3
CNGA3,BCAM
LARP4B,PIGR
GTF2H2B,GTF2H2C
RP13-516M14.2,RP11-420A6.2
VKORC1L1,RP11-458F8.4
RP11-428J1.5,ZNF682
CTD-2054N24.2,PCSK1N
RABGAP1,SEL1L3
CTD-3099C6.9,RP5-894A10.6
TXNDC11,GS1-44D20.1
IFNAR1,SRL
TAF1B,ZFAND6
RP3-525N10.2,NOS2
CSF1,RP11-12A20.7
KCNN4,ALPL
TTI1,HSPB1
CLDN11,RP13-143G15.4
AGAP4,AGAP7
CTD-2012J19.1,AKT1
TPT1-AS1,TMEM219
TRIP4,STK40
CTD-2010I16.1,IMMP2L
TPM2,MMP3
CTD-2008A1.2;SORD2P,NQO1
RP11-109D20.2,NQO1
RP13-1016M1.2,ROCK2
RHPN2,FAM156B
DOC2GP,NRIP2
AC005363.9,RPS2P46
BCKDHB,SLC38A5
MAPT,CADPS2
POLR3G,C3AR1
CTD-3157E16.1,NEDD1
EGF,TTR
TTF2,SOAT1
TYW3,EPC2
ANKEF1,PRRG2
NR1D2,RNF13
GNB1L,SLC25A39
ZNF565,RP11-484D2.5
RAB3D,SGTA
LIMD1,PTGDR
LIMD1-AS1,PTGDR
TXNDC16,MON2
BMPR1B,MYO9A
RP11-72I8.1,RP9
SLC38A10,RP11-274B21.9
RPSA,RPSAP19
RPS28,AC018738.2
FAM21A,
RPL13,RPL13P12
RPL3L,RPS2P5
RPS16,RP11-169K16.8
EIF3F,EIF3FP3
RP11-259G18.2,LRRC37A4P
CICP14,CICP13
RP11-274B21.1,CICP13
RP11-274B21.3,CICP13
RP11-274B21.2,CICP13
RP11-274B21.4,CICP13
DHFR,DHFRP1
FAM21EP;RP11-324H6.5,
RNF5,RNF5P1
RP11-259G18.3,DND1P1
RPSA,RPSAP15
RP11-259G18.2,DND1P1
CHRFAM7A,CHRNA7
WNT3,LRRC37A4P
RP11-382B18.3,CHRNA7
RP1-101K10.6,RP11-756P10.3
RPL12,RPL12P16
NOMO3,PKD1P5
MTRF1L,RP11-756P10.3
EIF3F,
GOLGA8H,CHRNA7
CICP14,CICP5
RP11-274B21.1,CICP5
RP11-274B21.4,CICP5
KANSL1,
RPS18,
CTD-3092A11.1,CHRNA7
HMGB1,HMGB1P5
OCLN,RP11-195E2.1
RPL12,RPL12P4
RP11-399F4.2,GXYLT1P6
OCLN,RP11-195E2.4
MZT2A,AC018804.6
RP11-195E2.1,OCLN
RP11-195E2.4,OCLN
GTF2H2B,OCLN
PYROXD1,RP11-819M15.1
SLC2A8,RPL12P4
MMACHC,AC022182.2
WI2-1896O14.1,
AC012309.5;LINC01535,LINC00665
RP11-399F4.2,CNN2P3
ULK4P2,CHRNA7
SNHG9,RPS2P46
CICP14,RP11-261C10.7
RP11-274B21.3,RP11-261C10.7
RP11-274B21.2,RP11-261C10.7
RP11-274B21.4,RP11-261C10.7
WDR6,C22orf34
FAM103A1,FAM103A2P
AC018638.1,RP11-261C10.7
GTF2H2,RP11-195E2.1
ZNF781,LINC00665
DDX11L2,AC002055.4;RPL23AP82
RP11-650K20.3,CSNK1D
ITIH4-AS1,CTD-2583A14.1
SNAPC4,HDAC7
RNF157,GBP3
AC093642.5,AC137934.1
TNRC6A,E2F8
